Vout X,Vout Y
3.8e-08,-0.1015274410734955
7.800000000000001e-08,-0.09893033005550297
1.18e-07,-0.09613319572632185
1.58e-07,-0.09353734328258051
1.98e-07,-0.0896305322413801
2.38e-07,-0.08703629364580798
2.78e-07,-0.08424955076496209
3.18e-07,-0.08166380415669729
3.579999999999999e-07,-0.07600938279569185
3.979999999999999e-07,-0.07341843382245503
4.379999999999999e-07,-0.07064263746221537
4.779999999999999e-07,-0.06806831908442215
5.18e-07,-0.06419581719308445
5.58e-07,-0.06162406607279508
5.98e-07,-0.05886108276080554
6.380000000000001e-07,-0.05629702256641531
6.780000000000001e-07,-0.04890437563125728
7.180000000000002e-07,-0.04631675956959893
7.580000000000002e-07,-0.04355702804242719
7.980000000000002e-07,-0.04099976586138012
8.380000000000003e-07,-0.03715297415891398
8.780000000000003e-07,-0.03459807875639887
9.180000000000004e-07,-0.03185234880083992
9.580000000000004e-07,-0.02930366859827791
9.980000000000004e-07,-0.02372222133916554
1.038e-06,-0.02116415057373608
1.078000000000001e-06,-0.01842131480538068
1.118000000000001e-06,-0.01587617445761415
1.158000000000001e-06,-0.01204322068518346
1.198000000000001e-06,-0.009496712401247991
1.238000000000001e-06,-0.006758592214349499
1.278000000000001e-06,-0.004216098942627868
1.318000000000001e-06,0.004086309744289502
1.358000000000001e-06,0.006697909233838453
1.398000000000001e-06,0.009456801961213341
1.438000000000001e-06,0.01200854234183739
1.478000000000001e-06,0.01584523336256599
1.518000000000001e-06,0.01839446043617295
1.558000000000001e-06,0.02113572736174242
1.598000000000001e-06,0.02368172589557655
1.638000000000001e-06,0.02926407873141336
1.678000000000001e-06,0.03182441909408419
1.718000000000001e-06,0.03457233749814165
1.758000000000001e-06,0.03712401189460874
1.798000000000001e-06,0.04097032021339563
1.838000000000001e-06,0.04352773452501366
1.878000000000001e-06,0.04627983869777814
1.918000000000001e-06,0.04883713444978825
1.958000000000001e-06,0.05623345209768454
1.998000000000001e-06,0.05882511011299225
2.038000000000001e-06,0.06159526203818507
2.078000000000002e-06,0.06416590789288978
2.118000000000002e-06,0.0680397531877598
2.158000000000002e-06,0.07061656703274127
2.198000000000002e-06,0.07339015374639297
2.238000000000002e-06,0.07596818190380702
2.278000000000002e-06,0.08162425714273536
2.318000000000002e-06,0.08422157853928702
2.358000000000002e-06,0.08701091409515938
2.398000000000002e-06,0.08960270286834079
2.438000000000002e-06,0.09351081817644911
2.478000000000002e-06,0.09611181344251364
2.518000000000002e-06,0.09891212471927975
2.558000000000002e-06,0.101515709018595
